,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
315,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,TRIES,0
316,Marco Zanon,Back,Italy,Centre,24,7, Benetton,TRIES,0
317,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,TRIES,2
318,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,TRIES,0
319,Maro Itoje,Forward,England,Lock,27,51,Saracens,TRIES,1
320,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,TRIES,0
321,Matthis Lebel,Back,France,Wing,22,1, Toulouse,TRIES,0
322,Max Malins,Back,England,Fullback,25,10,Saracens,TRIES,0
323,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,TRIES,0
324,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,TRIES,0
325,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,TRIES,2
326,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,TRIES,0
327,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,TRIES,0
328,Monty Ioane,Back,Italy,Wing,27,9, Benetton,TRIES,0
329,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,TRIES,0
330,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,TRIES,0
331,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,TRIES,0
332,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,TRIES,0
333,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,TRIES,1
334,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,TRIES,0
335,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,TRIES,0
336,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,TRIES,1
337,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,TRIES,0
338,Paul Willemse,Forward,France,Lock,29,19, Montpellier,TRIES,1
339,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,TRIES,0
340,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,TRIES,1
341,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,TRIES,0
342,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,TRIES,1
343,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,TRIES,0
344,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,TRIES,0
345,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,TRIES,0
346,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,TRIES,0
347,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,TRIES,0
348,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,TRIES,0
349,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,TRIES,1
350,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,TRIES,0
351,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,TRIES,0
352,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,TRIES,1
353,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,TRIES,0
354,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,TRIES,1
355,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,TRIES,0
356,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,TRIES,0
357,Sam Underhill,Forward,England,Back row,25,27,Bath,TRIES,0
358,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,TRIES,0
359,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,TRIES,0
360,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,TRIES,0
361,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,TRIES,0
362,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,TRIES,1
363,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,TRIES,0
364,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,TRIES,0
365,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,TRIES,0
366,Taine Basham,Forward,Wales,Back row,22,7, Dragons,TRIES,1
367,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,TRIES,0
368,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,TRIES,0
369,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,TRIES,0
370,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,TRIES,0
371,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,TRIES,0
372,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,TRIES,0
373,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,TRIES,1
374,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,TRIES,1
375,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,TRIES,0
376,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,TRIES,0
377,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,TRIES,0
378,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,TRIES,0
379,Will Stuart,Forward,England,Prop,25,15,Bath,TRIES,0
380,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,TRIES,0
381,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,TRIES,0
382,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,TRIES,1
383,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,TRIES,0
384,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,TRY ASSISTS,0
385,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,TRY ASSISTS,0
386,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,TRY ASSISTS,0
387,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,TRY ASSISTS,1
388,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,TRY ASSISTS,0
389,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,TRY ASSISTS,0
390,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,TRY ASSISTS,2
391,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,TRY ASSISTS,0
392,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,TRY ASSISTS,0
393,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,TRY ASSISTS,0
394,Andrew Conway,Back,Ireland,Wing,30,27,Munster,TRY ASSISTS,0
395,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,TRY ASSISTS,0
396,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,TRY ASSISTS,0
397,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,TRY ASSISTS,1
398,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,TRY ASSISTS,0
399,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,TRY ASSISTS,2
400,Ben Carter,Forward,Wales,Lock,21,5, Dragons,TRY ASSISTS,0
401,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,TRY ASSISTS,0
402,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,TRY ASSISTS,0
403,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,TRY ASSISTS,1
404,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,TRY ASSISTS,1
405,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,TRY ASSISTS,0
406,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,TRY ASSISTS,0
407,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,TRY ASSISTS,1
408,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,TRY ASSISTS,0
409,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,TRY ASSISTS,0
410,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,TRY ASSISTS,0
411,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,TRY ASSISTS,0
412,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,TRY ASSISTS,0
413,Charlie Ewels,Forward,England,Lock,26,26,Bath,TRY ASSISTS,0
414,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,TRY ASSISTS,0
415,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,TRY ASSISTS,0
416,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,TRY ASSISTS,0
417,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,TRY ASSISTS,1
418,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,TRY ASSISTS,0
419,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,TRY ASSISTS,1
420,Cyril Baille,Forward,France,Prop,28,31, Toulouse,TRY ASSISTS,1
421,Damian Penaud,Back,France,Wing,25,28, Clermont,TRY ASSISTS,1
422,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,TRY ASSISTS,1
423,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,TRY ASSISTS,1
424,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,TRY ASSISTS,0
425,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,TRY ASSISTS,1
426,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,TRY ASSISTS,0
427,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,TRY ASSISTS,0
428,Demba Bamba,Forward,France,Prop,23,20, Lyon,TRY ASSISTS,0
429,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,TRY ASSISTS,0
430,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,TRY ASSISTS,0
431,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,TRY ASSISTS,0
432,Dylan Cretin,Forward,France,Back row,24,13, Lyon,TRY ASSISTS,0
433,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,TRY ASSISTS,1
434,Elliot Daly,Back,England,Wing,29,52,Saracens,TRY ASSISTS,1
435,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,TRY ASSISTS,1
436,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,TRY ASSISTS,0
437,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,TRY ASSISTS,0
438,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,TRY ASSISTS,0
439,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TRY ASSISTS,0
440,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TRY ASSISTS,3
441,Francois Cros,Forward,France,Back row,27,11, Toulouse,TRY ASSISTS,0
442,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TRY ASSISTS,0
443,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TRY ASSISTS,0
444,Gabin Villiere,Back,France,Wing,26,8, Toulon,TRY ASSISTS,0
445,Gael Fickou,Back,France,Centre,27,66, Racing 92,TRY ASSISTS,0
446,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TRY ASSISTS,0
447,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,TRY ASSISTS,0
448,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,TRY ASSISTS,0
449,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,TRY ASSISTS,1
450,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,TRY ASSISTS,0
451,George Furbank,Back,England,Fullback,25,5,Northampton Saints,TRY ASSISTS,0
452,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,TRY ASSISTS,0
453,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,TRY ASSISTS,0
454,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,TRY ASSISTS,0
455,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,TRY ASSISTS,0
456,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,TRY ASSISTS,0
457,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,TRY ASSISTS,0
458,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,TRY ASSISTS,2
459,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,TRY ASSISTS,0
460,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,TRY ASSISTS,0
461,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,TRY ASSISTS,0
462,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,TRY ASSISTS,0
463,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,TRY ASSISTS,0
464,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,TRY ASSISTS,0
465,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,TRY ASSISTS,0
466,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,TRY ASSISTS,0
467,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,TRY ASSISTS,0
468,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,TRY ASSISTS,0
469,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,TRY ASSISTS,0
470,James Hume,Back,Ireland,Centre,23,1,Ulster,TRY ASSISTS,0
471,James Lowe,Back,Ireland,Wing,29,10,Leinster,TRY ASSISTS,2
472,James Ryan,Forward,Ireland,Lock,25,40,Leinster,TRY ASSISTS,0
473,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,TRY ASSISTS,0
474,Jamie George,Back,England,Hooker,31,61,Saracens,TRY ASSISTS,0
475,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,TRY ASSISTS,0
476,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,TRY ASSISTS,0
477,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,TRY ASSISTS,4
478,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,TRY ASSISTS,0
479,Joe Launchbury,Forward,England,Lock,30,69,Wasps,TRY ASSISTS,0
480,Joe Marchant,Back,England,Centre,25,7,Harlequins,TRY ASSISTS,0
481,Joe Marler,Forward,England,Prop,31,74,Harlequins,TRY ASSISTS,0
482,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,TRY ASSISTS,2
483,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,TRY ASSISTS,0
484,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,TRY ASSISTS,2
485,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,TRY ASSISTS,1
486,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,TRY ASSISTS,0
487,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,TRY ASSISTS,0
488,Josh Adams,Back,Wales,Wing,26,35, Cardiff,TRY ASSISTS,0
489,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,TRY ASSISTS,0
490,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,TRY ASSISTS,0
491,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,TRY ASSISTS,1
492,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,TRY ASSISTS,0
493,Julien Marchand,Back,France,Hooker,26,16, Toulouse,TRY ASSISTS,1
494,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,TRY ASSISTS,0
495,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,TRY ASSISTS,0
496,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,TRY ASSISTS,0
497,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,TRY ASSISTS,1
498,Leon Brown,Forward,Wales,Prop,25,16, Dragons,TRY ASSISTS,0
499,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,TRY ASSISTS,0
500,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,TRY ASSISTS,0
501,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,TRY ASSISTS,0
502,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,TRY ASSISTS,0
503,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,TRY ASSISTS,0
504,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,TRY ASSISTS,1
505,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,TRY ASSISTS,0
506,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,TRY ASSISTS,0
507,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,TRY ASSISTS,0
508,Marco Zanon,Back,Italy,Centre,24,7, Benetton,TRY ASSISTS,0
509,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,TRY ASSISTS,1
510,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,TRY ASSISTS,0
511,Maro Itoje,Forward,England,Lock,27,51,Saracens,TRY ASSISTS,0
512,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,TRY ASSISTS,0
513,Matthis Lebel,Back,France,Wing,22,1, Toulouse,TRY ASSISTS,0
514,Max Malins,Back,England,Fullback,25,10,Saracens,TRY ASSISTS,2
515,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,TRY ASSISTS,0
516,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,TRY ASSISTS,2
517,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,TRY ASSISTS,1
518,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,TRY ASSISTS,0
519,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,TRY ASSISTS,0
520,Monty Ioane,Back,Italy,Wing,27,9, Benetton,TRY ASSISTS,0
521,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,TRY ASSISTS,0
522,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,TRY ASSISTS,0
523,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,TRY ASSISTS,0
524,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,TRY ASSISTS,0
525,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,TRY ASSISTS,0
526,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,TRY ASSISTS,0
527,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,TRY ASSISTS,0
528,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,TRY ASSISTS,0
529,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,TRY ASSISTS,1
530,Paul Willemse,Forward,France,Lock,29,19, Montpellier,TRY ASSISTS,0
531,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,TRY ASSISTS,0
532,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,TRY ASSISTS,0
533,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,TRY ASSISTS,1
534,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,TRY ASSISTS,0
535,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,TRY ASSISTS,0
536,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,TRY ASSISTS,0
537,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,TRY ASSISTS,1
538,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,TRY ASSISTS,4
539,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,TRY ASSISTS,0
540,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,TRY ASSISTS,0
541,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,TRY ASSISTS,0
542,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,TRY ASSISTS,0
543,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,TRY ASSISTS,1
544,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,TRY ASSISTS,0
545,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,TRY ASSISTS,0
546,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,TRY ASSISTS,0
547,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,TRY ASSISTS,0
548,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,TRY ASSISTS,0
549,Sam Underhill,Forward,England,Back row,25,27,Bath,TRY ASSISTS,0
550,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,TRY ASSISTS,0
551,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,TRY ASSISTS,0
552,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,TRY ASSISTS,0
553,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,TRY ASSISTS,0
554,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,TRY ASSISTS,1
555,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,TRY ASSISTS,0
556,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,TRY ASSISTS,0
557,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,TRY ASSISTS,0
558,Taine Basham,Forward,Wales,Back row,22,7, Dragons,TRY ASSISTS,0
559,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,TRY ASSISTS,1
560,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,TRY ASSISTS,0
561,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,TRY ASSISTS,0
562,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,TRY ASSISTS,0
563,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,TRY ASSISTS,0
564,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,TRY ASSISTS,0
565,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,TRY ASSISTS,0
566,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,TRY ASSISTS,0
567,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,TRY ASSISTS,1
568,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,TRY ASSISTS,0
569,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,TRY ASSISTS,0
570,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,TRY ASSISTS,0
571,Will Stuart,Forward,England,Prop,25,15,Bath,TRY ASSISTS,0
572,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,TRY ASSISTS,0
573,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,TRY ASSISTS,0
574,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,TRY ASSISTS,1
575,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,TRY ASSISTS,0
576,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,CONVERSIONS,0
577,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,CONVERSIONS,0
578,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,CONVERSIONS,0
579,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,CONVERSIONS,0
580,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,CONVERSIONS,0
581,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,CONVERSIONS,0
582,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,CONVERSIONS,0
583,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,CONVERSIONS,0
584,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,CONVERSIONS,0
585,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,CONVERSIONS,0
586,Andrew Conway,Back,Ireland,Wing,30,27,Munster,CONVERSIONS,0
587,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,CONVERSIONS,0
588,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,CONVERSIONS,0
589,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,CONVERSIONS,0
590,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,CONVERSIONS,0
591,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,CONVERSIONS,0
592,Ben Carter,Forward,Wales,Lock,21,5, Dragons,CONVERSIONS,0
593,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,CONVERSIONS,0
594,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,CONVERSIONS,0
595,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,CONVERSIONS,0
596,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,CONVERSIONS,0
597,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,CONVERSIONS,0
598,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,CONVERSIONS,0
599,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,CONVERSIONS,0
600,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,CONVERSIONS,0
601,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,CONVERSIONS,0
602,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,CONVERSIONS,1
603,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,CONVERSIONS,0
604,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,CONVERSIONS,0
605,Charlie Ewels,Forward,England,Lock,26,26,Bath,CONVERSIONS,0
606,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,CONVERSIONS,0
607,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,CONVERSIONS,0
608,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,CONVERSIONS,0
609,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,CONVERSIONS,0
610,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,CONVERSIONS,0
611,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,CONVERSIONS,0
612,Cyril Baille,Forward,France,Prop,28,31, Toulouse,CONVERSIONS,0
613,Damian Penaud,Back,France,Wing,25,28, Clermont,CONVERSIONS,0
614,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,CONVERSIONS,5
615,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,CONVERSIONS,0
616,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,CONVERSIONS,0
617,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,CONVERSIONS,0
618,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,CONVERSIONS,0
619,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,CONVERSIONS,0
620,Demba Bamba,Forward,France,Prop,23,20, Lyon,CONVERSIONS,0
621,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,CONVERSIONS,0
622,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,CONVERSIONS,0
623,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,CONVERSIONS,0
624,Dylan Cretin,Forward,France,Back row,24,13, Lyon,CONVERSIONS,0
625,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,CONVERSIONS,0
626,Elliot Daly,Back,England,Wing,29,52,Saracens,CONVERSIONS,0
627,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,CONVERSIONS,0
628,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,CONVERSIONS,0
629,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,CONVERSIONS,0
630,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,CONVERSIONS,0
631,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,CONVERSIONS,0
632,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,CONVERSIONS,6
633,Francois Cros,Forward,France,Back row,27,11, Toulouse,CONVERSIONS,0
634,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,CONVERSIONS,0
