,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
283,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,TRIES,0
284,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,TRIES,0
285,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,TRIES,2
286,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,TRIES,0
287,Joe Launchbury,Forward,England,Lock,30,69,Wasps,TRIES,0
288,Joe Marchant,Back,England,Centre,25,7,Harlequins,TRIES,0
289,Joe Marler,Forward,England,Prop,31,74,Harlequins,TRIES,0
290,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,TRIES,1
291,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,TRIES,0
292,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,TRIES,0
293,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,TRIES,1
294,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,TRIES,0
295,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,TRIES,0
296,Josh Adams,Back,Wales,Wing,26,35, Cardiff,TRIES,2
297,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,TRIES,0
298,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,TRIES,0
299,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,TRIES,2
300,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,TRIES,0
301,Julien Marchand,Back,France,Hooker,26,16, Toulouse,TRIES,0
302,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,TRIES,1
303,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,TRIES,1
304,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,TRIES,1
305,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,TRIES,0
306,Leon Brown,Forward,Wales,Prop,25,16, Dragons,TRIES,0
307,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,TRIES,0
308,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,TRIES,0
309,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,TRIES,0
310,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,TRIES,0
311,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,TRIES,0
312,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,TRIES,1
313,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,TRIES,0
314,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,TRIES,0
