,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
214,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,TRY ASSISTS,0,0.0,Attack
215,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,TRY ASSISTS,1,0.25,Attack
216,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,TRY ASSISTS,0,0.0,Attack
217,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,TRY ASSISTS,0,0.0,Attack
218,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,TRY ASSISTS,0,0.0,Attack
219,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,TRY ASSISTS,0,0.0,Attack
220,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,TRY ASSISTS,0,0.0,Attack
221,Charlie Ewels,Forward,England,Lock,26,26,Bath,TRY ASSISTS,0,0.0,Attack
222,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,TRY ASSISTS,0,0.0,Attack
223,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,TRY ASSISTS,0,0.0,Attack
224,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,TRY ASSISTS,0,0.0,Attack
225,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,TRY ASSISTS,1,0.25,Attack
226,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,TRY ASSISTS,0,0.0,Attack
227,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,TRY ASSISTS,1,0.25,Attack
228,Cyril Baille,Forward,France,Prop,28,31, Toulouse,TRY ASSISTS,1,0.25,Attack
229,Damian Penaud,Back,France,Wing,25,28, Clermont,TRY ASSISTS,1,0.25,Attack
230,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,TRY ASSISTS,1,0.25,Attack
231,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,TRY ASSISTS,1,0.25,Attack
232,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,TRY ASSISTS,0,0.0,Attack
233,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,TRY ASSISTS,1,0.25,Attack
234,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,TRY ASSISTS,0,0.0,Attack
235,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,TRY ASSISTS,0,0.0,Attack
236,Demba Bamba,Forward,France,Prop,23,20, Lyon,TRY ASSISTS,0,0.0,Attack
