,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE,FORWARD/BACK
82,Jac Morgan,109,0,0,0,0,0,118,14,0,15,2,1,1,0,19,2,1,0,0,1,0,2,0,0,1,0,0,0,Wales,Back row,0, Ospreys,22,Forward
83,Jack Carty,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Ireland,Fly-half,10,Connacht,29,Back
84,Jack Conan,202,1,0,0,0,0,204,32,24,43,14,3,4,0,19,2,0,1,1,1,0,1,0,0,2,0,0,0,Ireland,Back row,22,Leinster,29,Forward
85,Jack Nowell,203,0,0,0,0,0,172,19,95,22,4,1,5,1,20,3,1,1,0,2,1,1,0,0,1,0,0,0,England,Wing,34,Exeter Chiefs,28,Back
86,James Hume,51,0,0,0,0,0,27,4,0,8,4,0,1,1,3,0,0,0,0,1,1,2,0,0,0,0,0,0,Ireland,Centre,1,Ulster,23,Back
87,James Lowe,240,3,2,0,0,0,441,39,721,62,25,2,8,0,3,2,0,1,0,5,8,3,1,0,0,0,0,0,Ireland,Wing,10,Leinster,29,Back
88,James Ryan,147,0,0,0,0,0,65,14,0,20,6,0,2,1,23,0,1,0,0,3,1,2,0,0,10,0,0,0,Ireland,Lock,40,Leinster,25,Forward
89,Jamie Blamire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Hooker,5,Newcastle Falcons,24,Back
90,Jamie George,282,2,0,0,0,0,98,17,0,24,9,2,1,0,36,6,2,2,0,1,0,1,0,0,0,1,0,0,England,Hooker,61,Saracens,31,Back
91,Jamie Hodgson,23,0,0,0,0,0,9,2,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,Lock,3, Edinburgh,23,Forward
92,Jamie Ritchie,59,0,0,0,0,0,32,6,0,9,3,0,0,0,7,0,0,0,0,2,0,2,0,0,4,0,0,0,Scotland,Back row,31, Edinburgh,25,Forward
93,Jamison Gibson-Park,326,2,4,0,0,0,192,23,933,412,390,1,6,1,11,4,0,0,1,3,11,1,0,0,0,0,0,0,Ireland,Scrum-half,12,Leinster,29,Back
94,Jean-Baptiste Gros,135,0,0,0,0,0,19,6,0,9,3,0,0,1,27,0,2,0,0,1,1,2,1,1,0,0,0,0,France,Prop,14, Toulon,22,Forward
95,Joe Launchbury,14,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Lock,69,Wasps,30,Forward
96,Joe Marchant,310,0,0,0,0,0,209,23,22,31,10,2,6,1,28,2,0,2,0,4,3,2,1,0,0,0,0,0,England,Centre,7,Harlequins,25,Back
97,Joe Marler,69,0,0,0,0,0,23,6,0,7,1,0,0,0,7,2,0,0,0,1,0,3,0,1,0,0,0,0,England,Prop,74,Harlequins,31,Forward
98,Joey Carbery,155,1,2,5,1,0,80,12,318,81,70,1,3,0,17,2,0,0,0,0,2,1,0,0,0,0,0,0,Ireland,Fly-half,27,Munster,26,Back
99,Johnny McNicholl,122,0,0,0,0,0,115,18,263,32,17,3,3,2,4,1,0,1,0,2,4,2,0,0,0,0,0,0,Wales,Fullback,8, Scarlets,31,Back
100,Johnny Sexton,250,0,2,13,3,0,155,27,275,142,120,5,7,0,25,2,1,2,1,2,7,3,0,0,0,0,0,0,Ireland,Fly-half,101,Leinster,36,Back
101,Jonathan Danty,296,1,1,0,0,0,227,28,66,41,13,0,7,3,30,5,1,5,0,6,7,0,0,0,0,0,0,0,France,Centre,11, La Rochelle,29,Back
102,Jonathan Davies,94,0,0,0,0,0,41,6,1,13,7,0,0,0,7,1,0,1,1,1,0,0,0,0,0,0,0,0,Wales,Centre,93, Scarlets,33,Back
103,Jonny Gray,205,0,0,0,0,0,81,21,0,32,11,0,3,1,48,3,1,0,0,2,2,2,0,0,16,0,0,0,Scotland,Lock,64, Exeter Chiefs,27,Forward
104,Josh Adams,305,2,0,0,0,0,261,27,285,41,18,4,14,2,23,6,1,0,2,4,4,7,1,0,0,0,1,0,Wales,Wing,35, Cardiff,26,Back
105,Josh Bayliss,18,0,0,0,0,0,28,4,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Scotland,Back row,2, Bath,24,Forward
106,Josh Navidi,156,0,0,0,0,0,60,12,0,17,5,0,1,0,20,3,0,3,0,0,0,0,0,0,0,0,0,0,Wales,Back row,28, Cardiff,31,Forward
107,Josh van der Flier,400,2,1,0,0,0,267,44,0,75,31,0,5,2,58,5,2,1,0,5,4,3,0,0,0,0,0,0,Ireland,Back row,35,Leinster,28,Forward
108,Juan Ignacio Brex,395,0,0,0,0,0,210,29,151,56,29,2,5,1,57,12,0,0,1,2,2,2,0,0,0,0,0,0,Italy,Centre,8, Benetton,29,Back
109,Julien Marchand,268,0,1,0,0,0,134,37,0,47,12,2,3,1,20,2,0,3,0,3,2,2,1,0,0,0,0,0,France,Hooker,16, Toulouse,26,Back
110,Kieran Hardy,96,1,0,0,0,0,64,13,236,141,128,0,1,1,11,1,1,0,1,2,4,0,0,0,0,0,0,0,Wales,Scrum-half,8, Scarlets,26,Back
111,Kieran Treadwell,37,1,0,0,0,0,27,5,0,7,2,0,1,1,6,2,0,0,0,1,1,0,0,0,3,0,0,0,Ireland,Lock,3,Ulster,26,Forward
112,Kyle Sinckler,240,1,0,0,0,0,105,29,0,48,19,0,0,0,34,2,1,1,2,1,0,6,1,1,0,0,0,0,England,Prop,47,Bristol Bears,28,Forward
113,Kyle Steyn,160,0,1,0,0,0,99,16,99,20,5,1,2,2,8,8,3,0,2,5,4,2,1,0,0,0,0,0,Scotland,Wing,3, Glasgow Warriors,28,Back
114,Leon Brown,73,0,0,0,0,0,31,8,0,9,2,1,0,0,12,0,2,0,0,0,1,2,1,1,0,0,0,0,Wales,Prop,16, Dragons,25,Forward
115,Leonardo Marin,251,0,0,0,0,0,92,13,208,39,27,1,3,0,27,6,0,0,0,5,2,1,0,0,0,0,0,0,Italy,Fly-half,0, Benetton,19,Back
116,Lewis Ludlam,63,0,0,0,0,0,57,8,0,9,1,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,0,England,Back row,10,Northampton Saints,26,Forward
117,Liam Williams,290,0,0,0,0,0,383,47,412,60,17,4,3,2,10,3,0,1,0,6,4,1,0,0,0,0,1,0,Wales,Fullback,74, Scarlets,30,Back
118,Louis Rees-Zammit,255,0,0,0,0,0,222,24,384,29,7,1,10,2,13,7,1,1,0,5,4,0,0,0,0,0,0,0,Wales,Wing,12, Gloucester,21,Back
119,Luke Cowan-Dickie,115,0,0,0,0,0,76,15,35,17,2,0,3,0,10,2,1,2,0,2,0,3,1,0,0,0,1,0,England,Hooker,31,Exeter Chiefs,28,Back
120,Mack Hansen,320,1,1,0,0,0,329,37,271,54,24,7,5,2,18,2,2,1,2,6,3,1,0,0,0,0,0,0,Ireland,Wing,0,Connacht,23,Back
